,secID,ticker,secShortName,exchangeCD,partyID,changeDate,totalShares,sharesA,sharesB,floatA,nonrestfloatA,floatB,restShares,nonrestFloatShares
0,000848.XSHE,000848,承德露露,XSHE,395,2021-06-30,1076419000,1076419000,,1076419000,1076392500,,26500.0,1076392500
1,000848.XSHE,000848,承德露露,XSHE,395,2021-05-06,1076419000,1076419000,,1076419000,1076392500,,26500.0,1076392500
2,000848.XSHE,000848,承德露露,XSHE,395,2020-12-31,1076419000,1076419000,,1076419000,1076392500,,26500.0,1076392500
3,000848.XSHE,000848,承德露露,XSHE,395,2020-06-30,1076419000,1076419000,,1076419000,1076275600,,143400.0,1076275600
4,000848.XSHE,000848,承德露露,XSHE,395,2020-05-21,1076419000,1076419000,0.0,1076419000,1076219400,0.0,199600.0,1076219400
5,000848.XSHE,000848,承德露露,XSHE,395,2020-05-15,1076419000,1076419000,0.0,1076419000,1076219400,0.0,199600.0,1076219400
6,000848.XSHE,000848,承德露露,XSHE,395,2020-04-30,1076419000,1076419000,0.0,1076419000,1076219400,0.0,199600.0,1076219400
7,000848.XSHE,000848,承德露露,XSHE,395,2020-04-29,1076419000,1076419000,0.0,1076419000,1076190900,0.0,228100.0,1076190900
8,000848.XSHE,000848,承德露露,XSHE,395,2019-12-31,978562700,978562700,,978562700,978355400,,207300.0,978355400
9,000848.XSHE,000848,承德露露,XSHE,395,2019-06-30,978562700,978562700,,978562700,978355400,,207300.0,978355400
10,000848.XSHE,000848,承德露露,XSHE,395,2018-12-31,978562700,978562700,,978562700,978355400,,207300.0,978355400
11,000848.XSHE,000848,承德露露,XSHE,395,2018-06-30,978562800,978562800,,978562800,978320900,,241900.0,978320900
12,000848.XSHE,000848,承德露露,XSHE,395,2017-12-31,978562700,978562700,,978562700,978355400,,207300.0,978355400
13,000848.XSHE,000848,承德露露,XSHE,395,2017-06-30,978562700,978562700,,978562700,978251400,,311300.0,978251400
14,000848.XSHE,000848,承德露露,XSHE,395,2016-12-31,978562700,978562700,,978562700,978014700,,548000.0,978014700
15,000848.XSHE,000848,承德露露,XSHE,395,2016-06-30,978562700,978562700,,978562700,978084000,,478700.0,978084000
16,000848.XSHE,000848,承德露露,XSHE,395,2016-05-17,978562700,978562700,,978562700,978084000,,478700.0,978084000
17,000848.XSHE,000848,承德露露,XSHE,395,2015-12-31,752740600,752740600,,752740600,752379800,,360800.0,752379800
18,000848.XSHE,000848,承德露露,XSHE,395,2015-06-30,752740600,752740600,,752740600,752462100,,278500.0,752462100
19,000848.XSHE,000848,承德露露,XSHE,395,2015-05-26,752740600,752740600,,752740600,752462100,,278500.0,752462100
20,000848.XSHE,000848,承德露露,XSHE,395,2014-12-31,501827100,501827100,,501827100,501644700,,182400.0,501644700
21,000848.XSHE,000848,承德露露,XSHE,395,2014-06-30,501827040,501827040,,501827040,501644690,,182350.0,501644690
22,000848.XSHE,000848,承德露露,XSHE,395,2014-06-04,501827040,501827040,,501827040,501644690,,182350.0,501644690
23,000848.XSHE,000848,承德露露,XSHE,395,2013-12-31,401461632,401461632,,401461632,401315752,,145880.0,401315752
24,000848.XSHE,000848,承德露露,XSHE,395,2013-06-30,401461632,401461632,,401461632,401312457,,149175.0,401312457
25,000848.XSHE,000848,承德露露,XSHE,395,2012-12-31,401461632,401461632,,401461632,401313281,,148351.0,401313281
26,000848.XSHE,000848,承德露露,XSHE,395,2012-07-10,401461632,401461632,,401461632,401313280,,148352.0,401313280
27,000848.XSHE,000848,承德露露,XSHE,395,2012-06-30,364965120,364965120,,364965120,364830255,,134865.0,364830255
28,000848.XSHE,000848,承德露露,XSHE,395,2011-12-31,364965120,364965120,,364965120,364823201,,141919.0,364823201
29,000848.XSHE,000848,承德露露,XSHE,395,2011-06-30,364965120,364965120,,364965120,364823201,,141919.0,364823201
30,000848.XSHE,000848,承德露露,XSHE,395,2011-05-26,364965120,364965120,,364965120,364823201,,141919.0,364823201
31,000848.XSHE,000848,承德露露,XSHE,395,2010-12-31,304137600,304137600,,304137600,304011816,,125784.0,304011816
32,000848.XSHE,000848,承德露露,XSHE,395,2010-08-06,304137600,304137600,,304137600,303974376,,163224.0,303974376
33,000848.XSHE,000848,承德露露,XSHE,395,2010-06-30,190086000,190086000,,190086000,189982381,,103619.0,189982381
34,000848.XSHE,000848,承德露露,XSHE,395,2009-12-31,190086000,190086000,,190086000,189982381,,103619.0,189982381
35,000848.XSHE,000848,承德露露,XSHE,395,2009-06-30,190086000,190086000,,190086000,189982381,,103619.0,189982381
36,000848.XSHE,000848,承德露露,XSHE,395,2009-06-09,190086000,190086000,,190086000,189982381,,103619.0,189982381
37,000848.XSHE,000848,承德露露,XSHE,395,2008-12-31,190086000,190086000,,190086000,109096381,,80989619.0,109096381
38,000848.XSHE,000848,承德露露,XSHE,395,2008-06-30,190086000,190086000,,190086000,109095870,,80990130.0,109095870
39,000848.XSHE,000848,承德露露,XSHE,395,2007-12-31,190086000,190086000,,190086000,109095870,,80990130.0,109095870
40,000848.XSHE,000848,承德露露,XSHE,395,2007-06-30,190086000,190086000,0.0,190086000,109200000,0.0,80886000.0,109200000
41,000848.XSHE,000848,承德露露,XSHE,395,2006-12-31,190086000,190086000,0.0,190086000,109200000,0.0,80886000.0,109200000
42,000848.XSHE,000848,承德露露,XSHE,395,2006-06-30,190086000,190086000,0.0,190086000,108995640,0.0,81090360.0,108995640
43,000848.XSHE,000848,承德露露,XSHE,395,2006-06-07,190086000,190086000,,190086000,108995640,,81090360.0,108995640
44,000848.XSHE,000848,承德露露,XSHE,395,2006-05-31,190086000,190086000,,109200000,109200000,,,109200000
45,000848.XSHE,000848,承德露露,XSHE,395,2005-12-31,311100000,311100000,0.0,109200000,108995640,0.0,204360.0,108995640
46,000848.XSHE,000848,承德露露,XSHE,395,2005-06-30,311100000,311100000,0.0,109200000,108995640,0.0,204360.0,108995640
47,000848.XSHE,000848,承德露露,XSHE,395,2005-05-24,311100000,311100000,0.0,108995640,108995640,0.0,0.0,108995640
48,000848.XSHE,000848,承德露露,XSHE,395,2004-12-31,259250000,259250000,,91000000,91000000,,,91000000
49,000848.XSHE,000848,承德露露,XSHE,395,2004-06-30,259250000,259250000,,91000000,91000000,,,91000000
50,000848.XSHE,000848,承德露露,XSHE,395,2003-12-31,259250000,259250000,,91000000,91000000,,,91000000
51,000848.XSHE,000848,承德露露,XSHE,395,2003-06-30,259250000,259250000,,91000000,91000000,,,91000000
52,000848.XSHE,000848,承德露露,XSHE,395,2003-01-27,259250000,259250000,,91000000,91000000,,,91000000
53,000848.XSHE,000848,承德露露,XSHE,395,2003-01-23,259250000,259250000,0.0,90800920,90800920,0.0,,90800920
54,000848.XSHE,000848,承德露露,XSHE,395,2002-12-31,259250000,259250000,,91000000,91000000,,,91000000
55,000848.XSHE,000848,承德露露,XSHE,395,2002-06-30,259250000,259250000,,91000000,91000000,,,91000000
56,000848.XSHE,000848,承德露露,XSHE,395,2001-12-31,259250000,259250000,,91000000,91000000,,,91000000
57,000848.XSHE,000848,承德露露,XSHE,395,2001-06-30,259250000,259250000,,91000000,91000000,,,91000000
58,000848.XSHE,000848,承德露露,XSHE,395,2000-12-31,259250000,259250000,,91000000,91000000,,,91000000
59,000848.XSHE,000848,承德露露,XSHE,395,2000-07-05,259250000,259250000,0.0,91000000,91000000,0.0,,91000000
