,indicID,indicName,nameEN,dyCD,parentID,isList,frequency,unit,statType,accuracy,region,country,currency,importance,infoSource,memoCN,dataApiID,dataApiName,beginDate,endDate,isUpdate
107,1010015489,GDP:现价:租赁和商务服务业:当季同比,GDP: at Current Price: Leasing and Business Services: YoY,M010015489,M010000003,0,季,%,当期同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,2016-03-31,2021-12-31,1
108,1010015490,GDP:现价:租赁和商务服务业:累计同比,GDP: at Current Price: Leasing and Business Services: Cumulative YoY,M010015490,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,2016-03-31,2021-12-31,1
109,1010015491,GDP:现价:金融业:当季同比,GDP: at Current Price: Financial Industry: YoY,M010015491,M010000003,0,季,%,当期同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1993-03-31,2021-12-31,1
110,1010015492,GDP:现价:金融业:累计同比,GDP: at Current Price: Financial Industry: Cumulative YoY,M010015492,M010000003,0,季,%,累计同比,2,全国,中国,,比较重要,国家统计局,,2975,getEcoDataChina,1953-12-31,2021-12-31,1
111,1010015493,GDP:现价:初步核算数:第一产业:当季值,GDP: at Current Prices: Preliminary Accounting Results: Primary Industry: Current Value (Quarter),M010015493,M010000003,0,季,亿元,初值,2,全国,中国,人民币元,比较重要,国家统计局,按当年价格计算。数据为初步核算数、不调整。,2975,getEcoDataChina,2015-09-30,2021-12-31,1
112,1010015494,GDP:现价:初步核算数:第二产业:当季值,GDP: at Current Prices: Preliminary Accounting Results: Secondary Industry: Current Value (Quarter),M010015494,M010000003,0,季,亿元,初值,2,全国,中国,人民币元,比较重要,国家统计局,按当年价格计算。数据为初步核算数、不调整。,2975,getEcoDataChina,2015-09-30,2021-12-31,1
113,1010015495,GDP:现价:初步核算数:第三产业:当季值,GDP: at Current Prices: Preliminary Accounting Results: Tertiary Industry: Current Value (Quarter),M010015495,M010000003,0,季,亿元,初值,2,全国,中国,人民币元,比较重要,国家统计局,按当年价格计算。数据为初步核算数、不调整。,2975,getEcoDataChina,2015-09-30,2021-12-31,1
114,1010015496,GDP:不变价:初步核算数:第一产业:当季同比,GDP: at Constant Prices: Preliminary Accounting Results: Primary Industry: YoY,M010015496,M010000003,0,季,%,初值同比,2,全国,中国,人民币元,比较重要,国家统计局,按可比价格计算。数据为初步核算数、不调整。,2975,getEcoDataChina,2015-09-30,2021-12-31,1
115,1010015497,GDP:不变价:初步核算数:第二产业:当季同比,GDP: at Constant Prices: Preliminary Accounting Results: Secondary Industry: YoY,M010015497,M010000003,0,季,%,初值同比,2,全国,中国,人民币元,比较重要,国家统计局,按可比价格计算。数据为初步核算数、不调整。,2975,getEcoDataChina,2015-09-30,2021-12-31,1
116,1010015498,GDP:不变价:初步核算数:第三产业:当季同比,GDP: at Constant Prices: Preliminary Accounting Results: Tertiary Industry: YoY,M010015498,M010000003,0,季,%,初值同比,2,全国,中国,人民币元,比较重要,国家统计局,按可比价格计算。数据为初步核算数、不调整。,2975,getEcoDataChina,2015-09-30,2021-12-31,1
